"","X","intended.mu","intended.k","site"
"148",148,6.02,0.19,"Macae"
"149",149,7.52,0.19,"Macae"
"150",150,9.02,0.19,"Macae"
"151",151,0.99,0.13,"Puerto Rico"
"152",152,0.99,0.26,"Puerto Rico"
"153",153,0.99,0.52,"Puerto Rico"
"154",154,1.98,0.13,"Puerto Rico"
"155",155,1.98,0.26,"Puerto Rico"
"156",156,1.98,0.52,"Puerto Rico"
"157",157,3.96,0.13,"Puerto Rico"
"158",158,3.96,0.26,"Puerto Rico"
"159",159,3.96,0.52,"Puerto Rico"
"160",160,5.94,0.13,"Puerto Rico"
"161",161,5.94,0.26,"Puerto Rico"
"162",162,5.94,0.52,"Puerto Rico"
"163",163,7.92,0.13,"Puerto Rico"
"164",164,7.92,0.26,"Puerto Rico"
"165",165,7.92,0.52,"Puerto Rico"
"166",166,9.9,0.13,"Puerto Rico"
"167",167,9.9,0.26,"Puerto Rico"
"168",168,9.9,0.52,"Puerto Rico"
"169",169,14.84,0.13,"Puerto Rico"
"170",170,14.84,0.26,"Puerto Rico"
"171",171,14.84,0.52,"Puerto Rico"
"172",172,19.79,0.13,"Puerto Rico"
"173",173,19.79,0.26,"Puerto Rico"
"174",174,19.79,0.52,"Puerto Rico"
"175",175,24.74,0.13,"Puerto Rico"
"176",176,24.74,0.26,"Puerto Rico"
"177",177,24.74,0.52,"Puerto Rico"
"178",178,29.69,0.13,"Puerto Rico"
"179",179,29.69,0.26,"Puerto Rico"
"180",180,29.69,0.52,"Puerto Rico"
"181",181,1.34,0.27,"Costa Rica"
"182",182,2.68,0.27,"Costa Rica"
"183",183,5.36,0.27,"Costa Rica"
"184",184,8.04,0.27,"Costa Rica"
"185",185,10.73,0.27,"Costa Rica"
"186",186,13.41,0.27,"Costa Rica"
"187",187,20.11,0.27,"Costa Rica"
"188",188,26.82,0.27,"Costa Rica"
"189",189,33.52,0.27,"Costa Rica"
"190",190,40.22,0.27,"Costa Rica"
"191",191,1.34,0.53,"Costa Rica"
"192",192,2.68,0.53,"Costa Rica"
"193",193,5.36,0.53,"Costa Rica"
"194",194,8.04,0.53,"Costa Rica"
"195",195,10.73,0.53,"Costa Rica"
"196",196,13.41,0.53,"Costa Rica"
"197",197,20.11,0.53,"Costa Rica"
"198",198,26.82,0.53,"Costa Rica"
"199",199,33.52,0.53,"Costa Rica"
"200",200,40.22,0.53,"Costa Rica"
"201",201,1.34,1.06,"Costa Rica"
"202",202,2.68,1.06,"Costa Rica"
"203",203,5.36,1.06,"Costa Rica"
"204",204,8.04,1.06,"Costa Rica"
"205",205,10.73,1.06,"Costa Rica"
"206",206,13.41,1.06,"Costa Rica"
"207",207,20.11,1.06,"Costa Rica"
"208",208,26.82,1.06,"Costa Rica"
"209",209,33.52,1.06,"Costa Rica"
"210",210,40.22,1.06,"Costa Rica"
