"X","site_brom.id","site","trt.name","mu.scalar","k.scalar","intended.mu","intended.k","temporal.block","maxvol","leaf.number","mean.diam","catchment.area","turbidity.initial","oxygen.percent.initial","oxygen.conc.initial","ph.initial","chlorophyll.initial","bacteria.per.ml..initial","amoeba.per.ml.initial","algae.per.ml.initial","ciliates.per.ml.initial","flagellates.per.ml.initial","rotifers.per.ml.initial","leafpack1.species1.mass.initial","leafpack2.species1.mass.initial","leafpack1.species2.mass.initial","leafpack2.species2.mass.initial","co2.final","methane.final","turbidity.final","oxygen.percent.final","oxygen.conc.final","ph.final","chlorophyll.final","bacteria.per.ml.final","amoeba.per.ml.final","algae.per.ml.final","ciliates.per.ml.final","flagellates.per.ml.final","rotifers.per.ml.final","leafpack1.species1.mass.final","leafpack2.species1.mass.final","leafpack1.species2.mass.final","leafpack2.species2.mass.final","water.volume.final","fpom.final","n15.bromeliad.final","final.bromeliad.percentn","final.bromeliad.percentc","species1","species2","decomp","sample_size_species","functional_group","engulfer_bio","filter.feeder_bio","gatherer_bio","piercer_bio","scraper_bio","shredder_bio","engulfer_abd","filter.feeder_abd","gatherer_abd","piercer_abd","scraper_abd","shredder_abd","predator_bio","prey_bio","predator_abd","prey_abd","cv.depth","wetness","prop.overflow.days","prop.driedout.days","n_driedout","n_overflow","days_last_catastrophe","type_catastrophe","mu.scalar.2","k.scalar.2","intended.mu.2","intended.k.2","detritivore_bio","PDratio"
21,"argentina_12","argentina","mu1.5k0.5",1.5,0.5,6.46,0.03,"c",435,35,55.5,946.79,205,17.6,6.6,6.85,NA,NA,NA,NA,NA,NA,NA,220,140,NA,NA,1.41676,NA,30.1,NA,NA,6.4,0.011,NA,NA,NA,NA,NA,NA,110,60,NA,NA,75,NA,15.6583,0.525001,NA,0.535714,NA,0.535714,1,"gatherer",0,0,2.10971,0,0,0,0,0,36,0,0,0,0,8.40971,2,76,64.8084,0.506803,0.125,0.177083,8.5,6,4,"driedout",2.25,0.25,41.7316,0.0009,2.10971,0
22,"argentina_12","argentina","mu1.5k0.5",1.5,0.5,6.46,0.03,"c",435,35,55.5,946.79,205,17.6,6.6,6.85,NA,NA,NA,NA,NA,NA,NA,220,140,NA,NA,1.41676,NA,30.1,NA,NA,6.4,0.011,NA,NA,NA,NA,NA,NA,110,60,NA,NA,75,NA,15.6583,0.525001,NA,0.535714,NA,0.535714,1,"piercer",0,0,0,20.9,0,0,0,0,0,2,0,0,20.9,8.40971,2,76,64.8084,0.506803,0.125,0.177083,8.5,6,4,"driedout",2.25,0.25,41.7316,0.0009,0,Inf
23,"argentina_12","argentina","mu1.5k0.5",1.5,0.5,6.46,0.03,"c",435,35,55.5,946.79,205,17.6,6.6,6.85,NA,NA,NA,NA,NA,NA,NA,220,140,NA,NA,1.41676,NA,30.1,NA,NA,6.4,0.011,NA,NA,NA,NA,NA,NA,110,60,NA,NA,75,NA,15.6583,0.525001,NA,0.535714,NA,0.535714,1,"scraper",0,0,0,0,4.5,0,0,0,0,0,38,0,0,8.40971,2,76,64.8084,0.506803,0.125,0.177083,8.5,6,4,"driedout",2.25,0.25,41.7316,0.0009,4.5,0
24,"argentina_12","argentina","mu1.5k0.5",1.5,0.5,6.46,0.03,"c",435,35,55.5,946.79,205,17.6,6.6,6.85,NA,NA,NA,NA,NA,NA,NA,220,140,NA,NA,1.41676,NA,30.1,NA,NA,6.4,0.011,NA,NA,NA,NA,NA,NA,110,60,NA,NA,75,NA,15.6583,0.525001,NA,0.535714,NA,0.535714,1,"shredder",0,0,0,0,0,1.8,0,0,0,0,0,2,0,8.40971,2,76,64.8084,0.506803,0.125,0.177083,8.5,6,4,"driedout",2.25,0.25,41.7316,0.0009,1.8,0
25,"argentina_3","argentina","mu2k0.5",2,0.5,8.62,0.03,"a",300,33,60,912.75,432,19.3,7.2,6.61,NA,NA,NA,NA,NA,NA,NA,270,140,NA,NA,1.84483,NA,416,18.5,7.4,6.54,0.011,NA,NA,NA,NA,NA,NA,80,60,NA,NA,53,NA,4.73663,0.619309,NA,0.637566,NA,0.637566,1,"gatherer",0,0,0.235714,0,0,0,0,0,1,0,0,0,0,2.06673,1,16,91.117,0.376728,0.125,0.375,16.5,5.5,4,"driedout",4,0.25,74.3044,0.0009,0.235714,0
26,"argentina_3","argentina","mu2k0.5",2,0.5,8.62,0.03,"a",300,33,60,912.75,432,19.3,7.2,6.61,NA,NA,NA,NA,NA,NA,NA,270,140,NA,NA,1.84483,NA,416,18.5,7.4,6.54,0.011,NA,NA,NA,NA,NA,NA,80,60,NA,NA,53,NA,4.73663,0.619309,NA,0.637566,NA,0.637566,1,"piercer",0,0,0,3,0,0,0,0,0,1,0,0,3,2.06673,1,16,91.117,0.376728,0.125,0.375,16.5,5.5,4,"driedout",4,0.25,74.3044,0.0009,0,Inf
27,"argentina_3","argentina","mu2k0.5",2,0.5,8.62,0.03,"a",300,33,60,912.75,432,19.3,7.2,6.61,NA,NA,NA,NA,NA,NA,NA,270,140,NA,NA,1.84483,NA,416,18.5,7.4,6.54,0.011,NA,NA,NA,NA,NA,NA,80,60,NA,NA,53,NA,4.73663,0.619309,NA,0.637566,NA,0.637566,1,"scraper",0,0,0,0,0.576471,0,0,0,0,0,14,0,0,2.06673,1,16,91.117,0.376728,0.125,0.375,16.5,5.5,4,"driedout",4,0.25,74.3044,0.0009,0.576471,0
28,"argentina_3","argentina","mu2k0.5",2,0.5,8.62,0.03,"a",300,33,60,912.75,432,19.3,7.2,6.61,NA,NA,NA,NA,NA,NA,NA,270,140,NA,NA,1.84483,NA,416,18.5,7.4,6.54,0.011,NA,NA,NA,NA,NA,NA,80,60,NA,NA,53,NA,4.73663,0.619309,NA,0.637566,NA,0.637566,1,"shredder",0,0,0,0,0,1.25455,0,0,0,0,0,1,0,2.06673,1,16,91.117,0.376728,0.125,0.375,16.5,5.5,4,"driedout",4,0.25,74.3044,0.0009,1.25455,0
29,"argentina_11","argentina","mu2.5k0.5",2.5,0.5,10.77,0.03,"c",415,38,70.5,1467.83,335,8.2,3.2,6.39,NA,NA,NA,NA,NA,NA,NA,170,180,NA,NA,1.50452,NA,65.7,NA,NA,6.57,11.72,NA,NA,NA,NA,NA,NA,90,80,NA,NA,59,NA,25.5647,0.481175,NA,0.513072,NA,0.513072,1,"filter.feeder",0,0.329412,0,0,0,0,0,4,0,0,0,0,0,3.6198,1,107,83.9876,0.405283,0.09375,0.260417,12.5,4.5,4,"driedout",6.25,0.25,115.993,0.0009,0,NaN
30,"argentina_11","argentina","mu2.5k0.5",2.5,0.5,10.77,0.03,"c",415,38,70.5,1467.83,335,8.2,3.2,6.39,NA,NA,NA,NA,NA,NA,NA,170,180,NA,NA,1.50452,NA,65.7,NA,NA,6.57,11.72,NA,NA,NA,NA,NA,NA,90,80,NA,NA,59,NA,25.5647,0.481175,NA,0.513072,NA,0.513072,1,"gatherer",0,0,2.39038,0,0,0,0,0,93,0,0,0,0,3.6198,1,107,83.9876,0.405283,0.09375,0.260417,12.5,4.5,4,"driedout",6.25,0.25,115.993,0.0009,2.39038,0
31,"argentina_11","argentina","mu2.5k0.5",2.5,0.5,10.77,0.03,"c",415,38,70.5,1467.83,335,8.2,3.2,6.39,NA,NA,NA,NA,NA,NA,NA,170,180,NA,NA,1.50452,NA,65.7,NA,NA,6.57,11.72,NA,NA,NA,NA,NA,NA,90,80,NA,NA,59,NA,25.5647,0.481175,NA,0.513072,NA,0.513072,1,"piercer",0,0,0,4.2,0,0,0,0,0,1,0,0,4.2,3.6198,1,107,83.9876,0.405283,0.09375,0.260417,12.5,4.5,4,"driedout",6.25,0.25,115.993,0.0009,0,Inf
32,"argentina_11","argentina","mu2.5k0.5",2.5,0.5,10.77,0.03,"c",415,38,70.5,1467.83,335,8.2,3.2,6.39,NA,NA,NA,NA,NA,NA,NA,170,180,NA,NA,1.50452,NA,65.7,NA,NA,6.57,11.72,NA,NA,NA,NA,NA,NA,90,80,NA,NA,59,NA,25.5647,0.481175,NA,0.513072,NA,0.513072,1,"scraper",0,0,0,0,0.7,0,0,0,0,0,7,0,0,3.6198,1,107,83.9876,0.405283,0.09375,0.260417,12.5,4.5,4,"driedout",6.25,0.25,115.993,0.0009,0.7,0
33,"argentina_11","argentina","mu2.5k0.5",2.5,0.5,10.77,0.03,"c",415,38,70.5,1467.83,335,8.2,3.2,6.39,NA,NA,NA,NA,NA,NA,NA,170,180,NA,NA,1.50452,NA,65.7,NA,NA,6.57,11.72,NA,NA,NA,NA,NA,NA,90,80,NA,NA,59,NA,25.5647,0.481175,NA,0.513072,NA,0.513072,1,"shredder",0,0,0,0,0,0.2,0,0,0,0,0,3,0,3.6198,1,107,83.9876,0.405283,0.09375,0.260417,12.5,4.5,4,"driedout",6.25,0.25,115.993,0.0009,0.2,0
34,"argentina_6","argentina","mu3k0.5",3,0.5,12.92,0.03,"c",210,28,52,504.96,NA,3.7,1.7,6.92,NA,NA,NA,NA,NA,NA,NA,150,190,NA,NA,1.68722,NA,105.7,NA,NA,6.79,51.73,NA,NA,NA,NA,NA,NA,100,70,NA,NA,43,NA,20.3249,0.561837,NA,0.482456,NA,0.482456,1,"engulfer",4.4,0,0,0,0,0,2,0,0,0,0,0,4.4,2.02588,3,41,124.164,0.229809,0.0416667,0.46875,22.5,2,4,"driedout",9,0.25,166.926,0.0009,0,Inf
35,"argentina_6","argentina","mu3k0.5",3,0.5,12.92,0.03,"c",210,28,52,504.96,NA,3.7,1.7,6.92,NA,NA,NA,NA,NA,NA,NA,150,190,NA,NA,1.68722,NA,105.7,NA,NA,6.79,51.73,NA,NA,NA,NA,NA,NA,100,70,NA,NA,43,NA,20.3249,0.561837,NA,0.482456,NA,0.482456,1,"gatherer",0,0,0.5625,0,0,0,0,0,34,0,0,0,0,2.02588,3,41,124.164,0.229809,0.0416667,0.46875,22.5,2,4,"driedout",9,0.25,166.926,0.0009,0.5625,0
36,"argentina_6","argentina","mu3k0.5",3,0.5,12.92,0.03,"c",210,28,52,504.96,NA,3.7,1.7,6.92,NA,NA,NA,NA,NA,NA,NA,150,190,NA,NA,1.68722,NA,105.7,NA,NA,6.79,51.73,NA,NA,NA,NA,NA,NA,100,70,NA,NA,43,NA,20.3249,0.561837,NA,0.482456,NA,0.482456,1,"piercer",0,0,0,12.4,0,0,0,0,0,1,0,0,12.4,2.02588,3,41,124.164,0.229809,0.0416667,0.46875,22.5,2,4,"driedout",9,0.25,166.926,0.0009,0,Inf
